AI1281, Air USA, 2024-03-09, 22:00, 90
AI630, Air Canada, 2024-03-09, 21:00, 356
AI4895, Air India, 2024-03-09, 15:00, 179
AI8712, Air Russia, 2024-03-09, 11:00, 308
AI9677, Air France, 2024-03-09, 07:00, 270
AI3625, Air Brazil, 2024-03-09, 06:00, 345
AI139, Air France, 2024-03-09, 04:00, 460
AI3930, Air Japan, 2024-03-09, 03:00, 279
AI9121, Air Germany, 2024-03-09, 02:00, 467
AI3031, Air Canada, 2024-03-09, 02:00, 498
AI8895, Air France, 2024-03-09, 00:00, 311
AI8538, Air Brazil, 2024-03-08, 18:00, 148
AI8836, Air Russia, 2024-03-08, 16:00, 364
AI6014, Air France, 2024-03-08, 07:00, 348
AI7163, Air Russia, 2024-03-08, 05:00, 383
AI3521, Air France, 2024-03-08, 03:00, 50
AI9834, Air Russia, 2024-03-08, 00:00, 471
AI7369, Air Canada, 2024-03-07, 17:00, 300
AI7447, Air Brazil, 2024-03-07, 13:00, 41
AI3147, Air Germany, 2024-03-07, 12:00, 145
AI2371, Air USA, 2024-03-07, 09:00, 173
AI6489, Air India, 2024-03-07, 07:00, 322
AI4922, Air Brazil, 2024-03-06, 23:00, 296
AI6821, Air Germany, 2024-03-06, 22:00, 363
AI6458, Air Germany, 2024-03-06, 08:00, 263
AI6235, Air France, 2024-03-06, 06:00, 249
AI5072, Air France, 2024-03-06, 00:00, 136
AI5287, Air Russia, 2024-03-05, 16:00, 467
AI9395, Air France, 2024-03-05, 16:00, 316
AI7342, Air Brazil, 2024-03-05, 10:00, 89
AI5898, Air India, 2024-03-05, 08:00, 138
AI1595, Air Canada, 2024-03-04, 21:00, 327
AI815, Air Canada, 2024-03-04, 19:00, 363
AI2713, Air Germany, 2024-03-04, 16:00, 361
AI3428, Air China, 2024-03-04, 12:00, 487
AI3982, Air India, 2024-03-04, 07:00, 32
AI3427, Air Japan, 2024-03-04, 04:00, 321
AI5926, Air France, 2024-03-04, 03:00, 270
AI7254, Air Brazil, 2024-03-03, 22:00, 170
AI5759, Air France, 2024-03-03, 20:00, 60
AI3347, Air Brazil, 2024-03-03, 20:00, 402
AI6394, Air China, 2024-03-03, 04:00, 347
AI184, Air Brazil, 2024-03-02, 14:00, 350
AI1431, Air Japan, 2024-03-02, 11:00, 233
AI6369, Air USA, 2024-03-01, 13:00, 275
AI7517, Air France, 2024-03-01, 12:00, 500
AI792, Air China, 2024-02-29, 22:00, 157
AI9306, Air Japan, 2024-02-29, 17:00, 399
AI8983, Air Australia, 2024-02-29, 13:00, 44
AI3614, Air USA, 2024-02-29, 06:00, 382
AI102, Air Russia, 2024-02-29, 05:00, 332
AI4238, Air Brazil, 2024-02-29, 05:00, 263
AI8135, Air Canada, 2024-02-28, 22:00, 431
AI5346, Air Australia, 2024-02-28, 22:00, 200
AI4244, Air USA, 2024-02-28, 15:00, 431
AI6435, Air Brazil, 2024-02-28, 13:00, 28
AI4548, Air Japan, 2024-02-28, 04:00, 207
AI7245, Air Germany, 2024-02-28, 00:00, 65
AI1650, Air Brazil, 2024-02-28, 00:00, 52
AI2590, Air Brazil, 2024-02-27, 23:00, 181
AI9236, Air Japan, 2024-02-27, 22:00, 306
AI6163, Air India, 2024-02-27, 11:00, 452
AI6603, Air USA, 2024-02-26, 22:00, 189
AI9946, Air Germany, 2024-02-26, 14:00, 481
AI3886, Air Germany, 2024-02-26, 11:00, 449
AI1909, Air Australia, 2024-02-26, 10:00, 210
AI9542, Air China, 2024-02-26, 07:00, 145
AI6609, Air Australia, 2024-02-26, 03:00, 485
AI8303, Air India, 2024-02-26, 02:00, 419
AI4613, Air USA, 2024-02-25, 23:00, 104
AI6342, Air Brazil, 2024-02-25, 19:00, 423
AI6692, Air Russia, 2024-02-25, 18:00, 229
AI7906, Air India, 2024-02-25, 16:00, 142
AI8376, Air Brazil, 2024-02-25, 16:00, 474
